Rank,Team name,Submissions,F1ScoreMacro,Time (s),Medals
1,WhatEver,1,0.97136,7,
2,kzharikov,1,0.96473,20,
3,mserg2000,1,0.96473,6,
4,StadiumArcadium,1,0.96261,14,
5,Sergey Zlobin,1,0.95996,76,
6,ReallyBadProgs,1,0.95901,3,
7,voronoffart,1,0.95608,14,
8,Redmadrobot,1,0.95511,8,
9,Data Satanist,1,0.95426,6,
10,Stanislav Chistyakov,1,0.95295,41,
11,cyberecho,1,0.95203,19,
12,lyghter,1,0.94944,70,
13,Noob,1,0.94648,5,
14,Fromy,1,0.94552,7,
15,Whois,1,0.94517,28,
16,Заратустра,1,0.94462,7,
17,Roman Barilov,1,0.94198,8,
18,Infex,1,0.94198,15,
19,нелепие,1,0.94105,17,
20,Random,1,0.94101,6,
21,sergeif,1,0.94016,11,
22,Алексей Соколов,1,0.94008,16,
23,WhileTrue,1,0.93914,9,
24,MaybeCringe,1,0.93736,2,
25,Стыдно,1,0.93616,8,
26,Tort,1,0.9329,11,
27,RedFlag,1,0.9309,6,
28,ssh1,1,0.92981,10,
29,Noname,1,0.92857,6,
30,estemmenosuchus,1,0.92831,6,
31,Дайте два,1,0.92822,4,
32,Пока,1,0.91952,8,
33,zbans,1,0.91817,46,
34,risiris,1,0.91309,8,
35,Pavel,1,0.91194,4,
36,кожаный,1,0.9111,6,
37,yrtchn,1,0.91058,25,
38,Max Nygma,1,0.90488,22,
39,Сережа 10А,1,0.90409,6,
40,Pollock,1,0.89603,16,
41,Иван Савкин,1,0.89231,4,
42,бабуин клив,1,0.88265,8,
43,Анатолий,1,0.86966,11,
44,0xFEE1DEAD,1,0.86771,7,
45,OARB Team,1,0.86771,3,
46,CONS2,1,0.85639,4,
47,Моцарт,1,0.85538,12,
48,Name of the best team ever,1,0.85203,6,
49,vacation,1,0.82392,111,
50,nothing2do,1,0.82303,7,
51,AI4BiologyAuthors,1,0.82205,4,
52,slayzar,1,0.82205,3,
53,Enikeevs,1,0.82205,5,
54,Кулхацкеры,1,0.82205,4,
55,Максимум,1,0.82205,3,
56,rolf,1,0.82205,8,
57,vshakhlin,1,0.82205,5,
58,MT19937,1,0.82205,7,
59,Nikodim,1,0.82205,7,
60,BioFact,1,0.82205,1668395428,
61,Robocops,1,0.82205,6,
62,acek,1,0.82205,7,
63,victorkras2008,1,0.82205,3,
64,testteam,1,0.82205,5,
65,cyberteria,1,0.82205,4,
66,Frrr,1,0.82205,6,
67,first try,1,0.82205,5,
68,Solution,1,0.82205,10,
69,ClosedAI,1,0.82205,3,
70,evvv,1,0.82205,8,
71,CARRACENIA,1,0.82205,6,
72,Dreamers,1,0.82205,4,
73,als oarb,1,0.82205,6,
74,Ерилов Юрий,1,0.82001,4,
75,плюс3балла,1,0.8069,3,
76,alxmamaev,1,0.80216,7,
77,Wanderers,1,0.80042,4,
78,Malekula,1,0.80013,7,
79,btbpanda,1,0.78711,7,
80,lambdaterm,1,0.7866,1,
81,vitalymegabyte,1,0.78462,6,
82,NoInfo,1,0.78236,4,
83,Rain,1,0.76444,10,
84,agusev,1,0.749,7,
85,kamikadze,1,0.72971,8,
86,Кайфарики,1,0.69706,8,
87,kemkir,1,0.6863,9,
88,GarryNeKasparov,1,0.67251,10,
89,tetelias,1,0.00748,4,
90,Roman Polomoshnov,1,0.00748,5,
