Rank,Team name,Submissions,F1ScoreMacro,Time (s),Medals
1,sergeif,33,0.99412,21,
2,Random,27,0.99412,6,
3,WhatEver,125,0.9931,10,
4,kzharikov,57,0.9931,37,
5,Sergey Zlobin,95,0.98723,131,
6,mserg2000,39,0.98605,6,
7,cyberecho,82,0.98511,11,
8,Stanislav Chistyakov,48,0.98405,45,
9,Whois,54,0.98001,6,
10,yrtchn,17,0.97718,25,
11,voronoffart,19,0.97545,22,
12,Fromy,39,0.9746,8,
13,Заратустра,22,0.9746,9,
14,ReallyBadProgs,35,0.97172,8,
15,Tort,107,0.96957,11,
16,estemmenosuchus,5,0.9685,7,
17,Infex,48,0.96614,11,
18,Roman Barilov,37,0.963,16,
19,Стыдно,2,0.96146,7,
20,Max Nygma,77,0.96115,12,
21,StadiumArcadium,36,0.96109,7,
22,ssh1,37,0.95802,9,
23,Redmadrobot,44,0.95785,5,
24,zbans,30,0.95394,12,
25,Data Satanist,10,0.953,5,
26,Дайте два,19,0.95205,8,
27,lyghter,41,0.95003,152,
28,нелепие,12,0.94557,33,
29,WhileTrue,15,0.94512,10,
30,Пока,18,0.94509,7,
31,кожаный,6,0.9445,8,
32,Иван Савкин,16,0.9443,5,
33,MaybeCringe,30,0.94334,10,
34,Noob,1,0.94195,6,
35,RedFlag,21,0.94189,9,
36,Noname,24,0.93458,7,
37,Алексей Соколов,1,0.93442,14,
38,cyberteria,2,0.9267,8,
39,risiris,12,0.92451,7,
40,бабуин клив,1,0.92376,7,
41,Сережа 10А,36,0.91934,5,
42,nothing2do,4,0.91647,5,
43,Malekula,3,0.91112,5,
44,Pollock,1,0.89262,34,
45,OARB Team,6,0.89206,6,
46,Pavel,6,0.88248,5,
47,Wanderers,3,0.8751,6,
48,Name of the best team ever,5,0.87478,4,
49,Анатолий,8,0.87385,6,
50,Ерилов Юрий,4,0.87293,15,
51,vacation,2,0.87002,47,
52,vitalymegabyte,1,0.86984,5,
53,0xFEE1DEAD,3,0.86884,2,
54,CONS2,2,0.86578,26,
55,Кайфарики,1,0.8617,3,
56,Моцарт,10,0.85414,14,
57,btbpanda,1,0.85226,10,
58,acek,20,0.84982,7,
59,Rain,5,0.84915,10,
60,vshakhlin,3,0.84586,9,
61,kamikadze,1,0.84365,5,
62,плюс3балла,2,0.84166,5,
63,AI4BiologyAuthors,1,0.83797,3,
64,slayzar,1,0.83797,5,
65,Robocops,2,0.83797,4,
66,MT19937,1,0.83797,8,
67,Solution,1,0.83797,4,
68,Dreamers,6,0.83797,6,
69,BioFact,2,0.83797,9,
70,Nikodim,2,0.83797,9,
71,evvv,3,0.83797,7,
72,Frrr,1,0.83797,5,
73,victorkras2008,3,0.83797,8,
74,Кулхацкеры,2,0.83797,9,
75,Максимум,7,0.83797,5,
76,CARRACENIA,5,0.83797,6,
77,als oarb,1,0.83797,6,
78,rolf,1,0.83797,3,
79,first try,2,0.83797,4,
80,Enikeevs,1,0.83797,9,
81,testteam,2,0.83797,1,
82,ClosedAI,1,0.83797,4,
83,NoInfo,5,0.80454,12,
84,lambdaterm,1,0.79873,5,
85,alxmamaev,1,0.78283,13,
86,agusev,2,0.76847,7,
87,kemkir,4,0.73413,5,
88,GarryNeKasparov,4,0.63912,6,
89,tetelias,3,0.49083,4,
90,Roman Polomoshnov,1,0.00791,6,
